Diff 1,Diff 2
2020-12-30 10:29:00
14,17
2,12
0,10
0,8
11,14
26,28
0,0
0,3
3,3
0,1
0,2
0,0
0,2
0,0
35,36
0,2
0,1
0,0
0,1
0,2
0,3
13,13
0,4
20,22
0,2
0,0
0,7
1,2
0,2
0,7
0,3
4,5
0,1
0,3
0,0
0,0
0,0
0,2
0,3
0,1
0,1
0,1
0,2
4,6
0,1
0,0
0,0
0,2
0,0
0,0
3,2
0,9
0,1
0,0
0,3
5,5
0,0
0,1
0,0
9,9
0,3
0,0
34,35
0,1
0,1
9,13
60,60
21,29
0,2
0,3
0,2
0,1
0,3
0,0
0,2
0,2
0,0
0,0
0,5
8,7
0,1
0,1
0,2
39,37
0,2
26,66
14,14
0,0
0,0
0,1
0,3
0,0
0,1
0,0
0,0
0,5
1,6
0,0
0,0
0,1
0,0
69,71
0,1
0,0
0,0
0,0
0,0
0,0
70,70
0,1
28,27
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
3,2
0,3
0,2
0,0
0,0
0,0
0,1
0,2
2,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,1
0,2
0,2
0,0
0,0
0,0
45,44
0,5
6,25
0,0
0,0
0,1
0,2
0,0
0,0
0,0
0,1
0,0
0,0
0,3
0,3
0,0
0,0
0,3
0,0
0,1
1,0
0,2
0,0
0,0
6,8
0,0
0,1
0,0
0,3
156,160
0,4
0,0
0,0
0,0
0,2
0,0
0,2
0,1
0,0
0,4
0,0
6,6
18,18
25,29
0,2
0,1
0,2
0,0
1,0
10,11
0,1
0,1
0,0
0,14
0,0
0,1
0,2
0,2
0,2
1,1
0,1
0,0
0,14
0,0
0,4
0,2
0,2
0,1
0,0
0,4
0,0
0,0
0,2
14,17
1,1
0,0
0,1
0,1
0,2
0,0
0,0
0,1
0,1
0,2
6,10
0,0
0,3
44,43
0,1
0,1
0,1
0,0
0,2
15,16
0,0
10,12
0,0
0,1
0,2
0,0
0,2
0,0
0,1
1,2
2,4
0,1
0,1
15,19
0,1
0,2
0,0
0,2
0,0
0,0
0,7
7,10
69,70
0,0
0,1
0,1
0,2
1,2
0,0
0,3
0,1
0,1
0,0
0,0
0,3
0,0
1,2
0,0
1,2
2,9
1,3
0,5
0,1
2,2
0,1
1,4
0,2
0,2
0,2
0,2
0,0
0,2
0,2
0,2
0,10
0,2
0,6
16,18
27,28
0,2
1,1
3,5
0,4
0,2
13,12
0,2
0,4
0,5
0,5
0,3
0,1
0,2
