Diff 1,Diff 2
2021-01-01 21:40:00
0,-25
8,444
0,19
0,-6
0,-35
0,-23
0,28
0,83
0,40
0,239
0,85
0,65
0,104
0,62
3,267
12,193
0,278
7,123
14,66
8,99
2,211
0,108
0,181
11,89
1,24
0,165
0,162
0,159
24,188
0,124
0,662
0,112
0,68
3,198
29,86
1,171
0,131
0,-5
0,145
0,37
1,50
0,64
2,22
0,-36
6,5
0,96
0,11
0,302
0,20
0,-37
0,31
0,11
0,-58
0,3
0,-42
0,233
0,-13
0,-30
0,145
11,-40
0,32
0,127
0,19
0,18
1,33
0,0
0,-37
0,42
16,66
0,95
0,18
0,32
0,34
5,308
0,106
0,-20
0,213
0,-17
0,-6
0,114
0,85
0,155
0,167
0,198
0,15
0,127
0,65
0,-24
0,0
0,-23
0,57
0,30
2,168
0,139
31,8
0,121
0,211
0,213
0,27
0,135
0,9
0,101
0,143
19,61
0,74
5,-10
4,-20
0,12
0,33
0,30
0,40
0,221
0,9
6,133
0,38
0,2
131,77
0,387
0,9
0,48
2,133
2,33
0,58
13,71
0,39
0,176
3,41
0,-29
0,25
4,1
0,67
0,29
1,104
0,36
0,28
31,-15
0,10
0,19
0,48
0,50
0,-51
0,-45
0,41
