Diff 1,Diff 2,Weekday
2020-12-30 10:29:00
14,17,2
2,12,3
0,10,4
0,8,5
11,14,6
26,28,0
0,0,1
0,3,2
3,3,3
0,1,4
0,2,5
0,0,6
0,2,0
0,0,1
35,36,2
0,2,3
0,1,4
0,0,5
0,1,6
0,2,0
0,3,1
13,13,2
0,4,3
20,22,4
0,2,5
0,0,6
0,7,0
1,2,1
0,2,2
0,7,3
0,3,4
4,5,5
0,1,6
0,3,0
0,0,1
0,0,2
0,0,3
0,2,4
0,3,5
0,1,6
0,1,0
0,1,1
0,2,2
4,6,3
0,1,4
0,0,5
0,0,6
0,2,0
0,0,1
0,0,2
3,2,3
0,9,4
0,1,5
0,0,6
0,3,0
5,5,1
0,0,2
0,1,3
0,0,4
9,9,5
0,3,6
0,0,0
34,35,1
0,1,2
0,1,3
9,13,4
60,60,5
21,29,6
0,2,0
0,3,1
0,2,2
0,1,3
0,3,4
0,0,5
0,2,6
0,2,0
0,0,1
0,0,2
0,5,3
8,7,4
0,1,5
0,1,6
0,2,0
39,37,1
0,2,2
26,66,3
14,14,4
0,0,5
0,0,6
0,1,0
0,3,1
0,0,2
0,1,3
0,0,4
0,0,0
0,5,1
1,6,2
0,0,3
0,0,4
0,1,0
0,0,1
69,71,2
0,1,3
0,0,4
0,0,5
0,0,6
0,0,0
0,0,1
70,70,2
0,1,3
28,27,4
0,0,5
0,1,6
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,1,0
0,0,1
3,2,2
0,3,3
0,2,4
0,0,5
0,0,6
0,0,0
0,1,1
0,2,2
2,1,3
0,0,4
0,0,5
0,0,6
0,0,0
0,0,1
0,0,2
0,1,3
0,0,4
0,0,5
0,0,6
0,1,0
0,1,1
0,2,2
0,2,3
0,0,4
0,0,5
0,0,6
45,44,0
0,5,1
6,25,2
0,0,3
0,0,4
0,1,5
0,2,6
0,0,0
0,0,1
0,0,2
0,1,3
0,0,4
0,0,5
0,3,6
0,3,0
0,0,1
0,0,2
0,3,3
0,0,4
0,1,0
1,0,1
0,2,2
0,0,3
0,0,4
6,8,5
0,0,6
0,1,0
0,0,1
0,3,2
156,160,3
0,4,4
0,0,5
0,0,6
0,0,0
0,2,1
0,0,2
0,2,3
0,1,4
0,0,5
0,4,6
0,0,0
6,6,1
18,18,2
25,29,3
0,2,4
0,1,5
0,2,6
0,0,0
1,0,1
10,11,2
0,1,3
0,1,4
0,0,5
0,14,6
0,0,0
0,1,1
0,2,2
0,2,3
0,2,4
1,1,5
0,1,6
0,0,0
0,14,1
0,0,2
0,4,3
0,2,4
0,2,5
0,1,6
0,0,0
0,4,1
0,0,2
0,0,3
0,2,4
14,17,5
1,1,6
0,0,0
0,1,1
0,1,2
0,2,3
0,0,4
0,0,5
0,1,6
0,1,0
0,2,1
6,10,2
0,0,3
0,3,4
44,43,5
0,1,6
0,1,0
0,1,1
0,0,2
0,2,3
15,16,4
0,0,5
10,12,6
0,0,0
0,1,1
0,2,2
0,0,3
0,2,4
0,0,5
0,1,6
1,2,0
2,4,1
0,1,2
0,1,3
15,19,4
0,1,5
0,2,6
0,0,0
0,2,1
0,0,2
0,0,3
0,7,4
7,10,5
69,70,6
0,0,0
0,1,1
0,1,2
0,2,3
1,2,4
0,0,5
0,3,6
0,1,0
0,1,1
0,0,2
0,0,3
0,3,4
0,0,5
1,2,6
0,0,0
1,2,2
2,9,4
1,3,0
0,5,2
0,1,4
2,2,0
0,1,2
1,4,4
0,2,0
0,2,2
0,2,4
0,2,0
0,0,2
0,2,4
0,2,0
0,2,2
0,10,4
0,2,0
0,6,2
16,18,4
27,28,0
0,2,2
1,1,4
3,5,0
0,4,2
0,2,4
13,12,0
0,2,2
0,4,4
0,5,0
0,5,2
0,3,4
0,1,0
0,2,2
