Diff 1,Diff 2,Weekday
2021-01-01 21:40:00
0,-25,2
8,444,4
0,19,6
0,-6,2
0,-35,4
0,-23,6
0,28,2
0,83,4
0,40,6
0,239,2
0,85,4
0,65,6
0,104,2
0,62,4
3,267,2
12,193,4
0,278,6
7,123,2
14,66,4
8,99,6
2,211,2
0,108,4
0,181,6
11,89,2
1,24,4
0,165,2
0,162,4
0,159,2
24,188,4
0,124,6
0,662,2
0,112,4
0,68,6
3,198,2
29,86,4
1,171,6
0,131,2
0,-5,4
0,145,6
0,37,2
1,50,4
0,64,6
2,22,2
0,-36,4
6,5,6
0,96,2
0,11,4
0,302,6
0,20,2
0,-37,4
0,31,6
0,11,2
0,-58,4
0,3,6
0,-42,2
0,233,4
0,-13,6
0,-30,2
0,145,4
11,-40,6
0,32,2
0,127,4
0,19,6
0,18,2
1,33,6
0,0,2
0,-37,4
0,42,6
16,66,2
0,95,4
0,18,6
0,32,2
0,34,4
5,308,6
0,106,2
0,-20,4
0,213,6
0,-17,2
0,-6,4
0,114,6
0,85,2
0,155,4
0,167,6
0,198,2
0,15,4
0,127,6
0,65,2
0,-24,4
0,0,6
0,-23,2
0,57,4
0,30,6
2,168,2
0,139,4
31,8,6
0,121,2
0,211,2
0,213,4
0,27,6
0,135,2
0,9,4
0,101,2
0,143,4
19,61,6
0,74,2
5,-10,4
4,-20,6
0,12,2
0,33,4
0,30,6
0,40,6
0,221,2
0,9,4
6,133,6
0,38,2
0,2,2
131,77,4
0,387,6
0,9,2
0,48,4
2,133,6
2,33,2
0,58,4
13,71,6
0,39,2
0,176,4
3,41,6
0,-29,2
0,25,4
4,1,6
0,67,2
0,29,4
1,104,6
0,36,2
0,28,4
31,-15,6
0,10,2
0,19,4
0,48,6
0,50,2
0,-51,4
0,-45,6
0,41,2
